fixture_id,team_id,team_name,opponent_team_id,home_flag,player_id,player_name,minutes,rating,position,date,rolling_rating_3,rolling_minutes_3,rolling_rating_5,rolling_minutes_5,rolling_rating_std_5,days_since_last_match,fatigue_ratio,form_delta,match_count,team_fixture_avg_rating,opponent_fixture_avg_rating,opponent_rolling_avg_rating,target_next_rating,target_delta,target_outperform,prob_outperform,predicted_delta,expected_rating,fitness_score,decision
1038303,533,Villarreal,547,0,195717,Yerson Mosquera,90.0,7.2,D,2024-05-14 20:00:00+00:00,7.2,90.0,7.2,90.0,,7.0,0.2,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.0,-0.2000000000000001,0,0.2048963671392207,-0.3887061802306605,6.81129381976934,0.8,UNASSIGNED
1038303,533,Villarreal,547,0,290740,Ilias Akhomach,25.0,6.5,F,2024-05-14 20:00:00+00:00,6.5,25.0,6.5,25.0,,7.0,0.0555555555555555,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.9,0.4000000000000003,1,0.765059463588606,0.2172886234800987,6.717288623480099,0.9444444444444445,UNASSIGNED
1038303,533,Villarreal,547,0,925,Gonçalo Guedes,65.0,6.6,F,2024-05-14 20:00:00+00:00,6.6,65.0,6.6,65.0,,7.0,0.1444444444444444,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.7,0.1000000000000005,1,0.6111713032681843,0.1784904266246863,6.778490426624686,0.8555555555555556,UNASSIGNED
1038303,547,Girona,533,1,158,Paulo Gazzaniga,90.0,7.2,G,2024-05-14 20:00:00+00:00,7.2,90.0,7.2,90.0,,7.0,0.2,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.5,-0.7000000000000002,0,0.20181654870204896,-0.39686223176548446,6.8031377682345155,0.8,UNASSIGNED
1038303,533,Villarreal,547,0,131,Jorge Cuenca,65.0,7.5,D,2024-05-14 20:00:00+00:00,7.5,65.0,7.5,65.0,,7.0,0.1444444444444444,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.7,-0.7999999999999998,0,0.19898269479962874,-0.4553774246326686,7.044622575367331,0.8555555555555556,UNASSIGNED
1038303,533,Villarreal,547,0,47467,José Luis Morales,9.0,6.6,F,2024-05-14 20:00:00+00:00,6.6,9.0,6.6,9.0,,7.0,0.02,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.2,0.6000000000000005,1,0.558379663074726,0.1353799247295095,6.735379924729509,0.98,UNASSIGNED
1038303,533,Villarreal,547,0,671,Bertrand Traoré,81.0,7.5,M,2024-05-14 20:00:00+00:00,7.5,81.0,7.5,81.0,,7.0,0.18,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.0,-0.5,0,0.20906596612345565,-0.34860188353605565,7.151398116463945,0.8200000000000001,UNASSIGNED
1038303,547,Girona,533,1,47514,Valery Fernández,15.0,6.6,D,2024-05-14 20:00:00+00:00,6.6,15.0,6.6,15.0,,7.0,0.0333333333333333,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.7,0.1000000000000005,1,0.6315379928097357,0.12636275358508808,6.726362753585088,0.9666666666666667,UNASSIGNED
1038303,547,Girona,533,1,47334,David López,90.0,7.2,D,2024-05-14 20:00:00+00:00,7.2,90.0,7.2,90.0,,7.0,0.2,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,7.2,0.0,0,0.20181654870204896,-0.39686223176548446,6.8031377682345155,0.8,UNASSIGNED
1038303,547,Girona,533,1,162032,Miguel Gutiérrez,75.0,6.9,D,2024-05-14 20:00:00+00:00,6.9,75.0,6.9,75.0,,7.0,0.1666666666666666,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.9,0.0,0,0.25018810736184005,-0.12831027544714518,6.771689724552855,0.8333333333333334,UNASSIGNED
1038308,724,Cadiz,536,0,47229,Fali,90.0,7.0,D,2024-05-15 17:30:00+00:00,7.0,90.0,7.0,90.0,,7.0,0.2,0.0,1,7.03125,6.96,6.96,6.7,-0.2999999999999998,0,0.23155172352401285,-0.19588163580724643,6.804118364192753,0.8,UNASSIGNED
1038308,536,Sevilla,724,1,1911,Lucas Ocampos,84.0,6.2,M,2024-05-15 17:30:00+00:00,6.2,84.0,6.2,84.0,,7.0,0.1866666666666666,0.0,1,6.96,7.03125,7.03125,7.2,1.0,1,0.7971451023240488,0.5654811286084219,6.765481128608422,0.8133333333333335,UNASSIGNED
1038308,536,Sevilla,724,1,738,Sergio Ramos,90.0,7.7,D,2024-05-15 17:30:00+00:00,7.7,90.0,7.7,90.0,,7.0,0.2,0.0,1,6.96,7.03125,7.03125,7.3,-0.4000000000000003,0,0.1715932188115399,-0.5225713556986209,7.177428644301379,0.8,UNASSIGNED
1038310,728,Rayo Vallecano,715,1,41973,Miguel Crespo,45.0,6.6,M,2024-05-15 17:30:00+00:00,6.6,45.0,6.6,45.0,,7.0,0.1,0.0,1,6.40625,6.793333333333334,6.793333333333334,6.7,0.1000000000000005,1,0.5909922422575731,0.13462078136238617,6.734620781362386,0.9,UNASSIGNED
1038308,724,Cadiz,536,0,47307,Joseba Zaldúa,80.0,6.9,D,2024-05-15 17:30:00+00:00,6.9,80.0,6.9,80.0,,7.0,0.1777777777777777,0.0,1,7.03125,6.96,6.96,5.6,-1.3000000000000007,0,0.24349237690897993,-0.2015482879863943,6.698451712013606,0.8222222222222223,UNASSIGNED
1038308,724,Cadiz,536,0,47388,Gonzalo Escalante,90.0,6.9,M,2024-05-15 17:30:00+00:00,6.9,90.0,6.9,90.0,,7.0,0.2,0.0,1,7.03125,6.96,6.96,6.3,-0.6000000000000005,0,0.24389627958734536,-0.1705307920777415,6.729469207922259,0.8,UNASSIGNED
1038310,728,Rayo Vallecano,715,1,107153,Kike Pérez,10.0,7.7,M,2024-05-15 17:30:00+00:00,7.7,10.0,7.7,10.0,,7.0,0.0222222222222222,0.0,1,6.40625,6.793333333333334,6.793333333333334,6.6,-1.1000000000000003,0,0.30630530808605,-0.7642719430970307,6.93572805690297,0.9777777777777779,UNASSIGNED
1038308,724,Cadiz,536,0,51588,Brian Ocampo,10.0,6.9,F,2024-05-15 17:30:00+00:00,6.9,10.0,6.9,10.0,,7.0,0.0222222222222222,0.0,1,7.03125,6.96,6.96,6.9,0.0,0,0.3154759063020454,-0.1745705466581199,6.725429453341881,0.9777777777777779,UNASSIGNED
1038308,724,Cadiz,536,0,84086,Robert Navarro,80.0,7.2,M,2024-05-15 17:30:00+00:00,7.2,80.0,7.2,80.0,,7.0,0.1777777777777777,0.0,1,7.03125,6.96,6.96,6.2,-1.0,0,0.2134288131196474,-0.42476560970022903,6.775234390299771,0.8222222222222223,UNASSIGNED
1038308,536,Sevilla,724,1,47422,Youssef En-Nesyri,90.0,6.3,F,2024-05-15 17:30:00+00:00,6.3,90.0,6.3,90.0,,7.0,0.2,0.0,1,6.96,7.03125,7.03125,7.7,1.4000000000000004,1,0.7591869502994428,0.526790760630141,6.826790760630141,0.8,UNASSIGNED
1038308,724,Cadiz,536,0,47471,Roger Martí,61.0,6.9,F,2024-05-15 17:30:00+00:00,6.9,61.0,6.9,61.0,,7.0,0.1355555555555555,0.0,1,7.03125,6.96,6.96,6.7,-0.2000000000000001,0,0.2290548989705441,-0.18367132949811915,6.716328670501881,0.8644444444444445,UNASSIGNED
1038308,724,Cadiz,536,0,47485,Rubén Alcaraz,90.0,7.5,M,2024-05-15 17:30:00+00:00,7.5,90.0,7.5,90.0,,7.0,0.2,0.0,1,7.03125,6.96,6.96,5.9,-1.5999999999999996,0,0.18444645174787822,-0.43256899659219866,7.067431003407801,0.8,UNASSIGNED
1038308,536,Sevilla,724,1,760,Mariano Díaz,17.0,6.7,F,2024-05-15 17:30:00+00:00,6.7,17.0,6.7,17.0,,7.0,0.0377777777777777,0.0,1,6.96,7.03125,7.03125,6.9,0.2000000000000001,1,0.5770284541466815,0.1288803598372817,6.828880359837282,0.9622222222222223,UNASSIGNED
1038308,724,Cadiz,536,0,937,Rubén Sobrino,61.0,6.6,M,2024-05-15 17:30:00+00:00,6.6,61.0,6.6,61.0,,7.0,0.1355555555555555,0.0,1,7.03125,6.96,6.96,6.3,-0.2999999999999998,0,0.6051688299209963,0.17511734714860755,6.7751173471486075,0.8644444444444445,UNASSIGNED
1038308,536,Sevilla,724,1,22233,Boubakary Soumaré,90.0,6.9,M,2024-05-15 17:30:00+00:00,6.9,90.0,6.9,90.0,,7.0,0.2,0.0,1,6.96,7.03125,7.03125,7.6,0.6999999999999993,1,0.24870462771501659,-0.11988567684902277,6.780114323150977,0.8,UNASSIGNED
1038310,728,Rayo Vallecano,715,1,122657,Randy Nteka,10.0,3.0,M,2024-05-15 17:30:00+00:00,3.0,10.0,3.0,10.0,,7.0,0.0222222222222222,0.0,1,6.40625,6.793333333333334,6.793333333333334,6.6,3.6,1,0.8088753888457978,3.620552132936512,6.620552132936512,0.9777777777777779,UNASSIGNED
1038306,530,Atletico Madrid,546,0,2669,Mario Hermoso,90.0,7.0,D,2024-05-15 20:00:00+00:00,7.0,90.0,7.0,90.0,,7.0,0.2,0.0,1,7.292857142857143,6.575,6.575,6.6,-0.4000000000000003,0,0.23966900033932287,-0.08562766359631607,6.914372336403684,0.8,UNASSIGNED
1038305,531,Athletic Club,538,0,182641,Imanol García de Albéniz,90.0,6.2,D,2024-05-15 20:00:00+00:00,6.2,90.0,6.2,90.0,,7.0,0.2,0.0,1,6.58125,6.8625,6.8625,6.6,0.3999999999999994,1,0.796082878031659,0.499467383354732,6.699467383354732,0.8,UNASSIGNED
1038306,546,Getafe,530,1,162030,Jordi Martín,45.0,6.7,M,2024-05-15 20:00:00+00:00,6.7,45.0,6.7,45.0,,7.0,0.1,0.0,1,6.575,7.292857142857143,7.292857142857143,6.3,-0.4000000000000003,0,0.4269593698940186,0.07797566421855563,6.777975664218556,0.9,UNASSIGNED
1038305,531,Athletic Club,538,0,183848,Julen Agirrezabala,28.0,6.3,G,2024-05-15 20:00:00+00:00,6.3,28.0,6.3,28.0,,7.0,0.0622222222222222,0.0,1,6.58125,6.8625,6.8625,6.7,0.4000000000000003,1,0.7965320813873473,0.46737345147750453,6.767373451477504,0.9377777777777778,UNASSIGNED
1038305,531,Athletic Club,538,0,104853,Asier Villalibre,62.0,6.6,F,2024-05-15 20:00:00+00:00,6.6,62.0,6.6,62.0,,7.0,0.1377777777777777,0.0,1,6.58125,6.8625,6.8625,6.6,0.0,0,0.6060225922635227,0.18200227556984064,6.78200227556984,0.8622222222222223,UNASSIGNED
1038306,530,Atletico Madrid,546,0,31,José María Giménez,90.0,7.7,D,2024-05-15 20:00:00+00:00,7.7,90.0,7.7,90.0,,7.0,0.2,0.0,1,7.292857142857143,6.575,6.575,7.3,-0.4000000000000003,0,0.14592954893680132,-0.5016222758812491,7.198377724118751,0.8,UNASSIGNED
1038306,530,Atletico Madrid,546,0,136117,Rodrigo Riquelme,23.0,6.7,M,2024-05-15 20:00:00+00:00,6.7,23.0,6.7,23.0,,7.0,0.0511111111111111,0.0,1,7.292857142857143,6.575,6.575,6.6,-0.1000000000000005,0,0.5133193959327749,0.11916795875041146,6.819167958750412,0.9488888888888889,UNASSIGNED
1038305,538,Celta Vigo,531,1,67955,Carles Pérez,45.0,6.3,M,2024-05-15 20:00:00+00:00,6.3,45.0,6.3,45.0,,7.0,0.1,0.0,1,6.8625,6.58125,6.58125,6.3,0.0,0,0.6982626375932027,0.43137543719895727,6.731375437198957,0.9,UNASSIGNED
1038305,538,Celta Vigo,531,1,329720,Hugo Álvarez,45.0,7.9,M,2024-05-15 20:00:00+00:00,7.9,45.0,7.9,45.0,,7.0,0.1,0.0,1,6.8625,6.58125,6.58125,6.7,-1.2000000000000002,0,0.1852646062396875,-1.0343609176112938,6.865639082388706,0.9,UNASSIGNED
1038305,538,Celta Vigo,531,1,2032,Jørgen Strand Larsen,73.0,6.3,F,2024-05-15 20:00:00+00:00,6.3,73.0,6.3,73.0,,7.0,0.1622222222222222,0.0,1,6.8625,6.58125,6.58125,6.7,0.4000000000000003,1,0.704804090353148,0.43545383068439514,6.735453830684395,0.8377777777777777,UNASSIGNED
1038305,531,Athletic Club,538,0,47271,Yeray Álvarez,90.0,6.2,D,2024-05-15 20:00:00+00:00,6.2,90.0,6.2,90.0,,7.0,0.2,0.0,1,6.58125,6.8625,6.8625,6.9,0.7000000000000002,1,0.796082878031659,0.499467383354732,6.699467383354732,0.8,UNASSIGNED
1038305,531,Athletic Club,538,0,47281,Dani García,75.0,6.6,M,2024-05-15 20:00:00+00:00,6.6,75.0,6.6,75.0,,7.0,0.1666666666666666,0.0,1,6.58125,6.8625,6.8625,7.2,0.6000000000000005,1,0.6357689987636789,0.2007496428547048,6.800749642854704,0.8333333333333334,UNASSIGNED
1038305,538,Celta Vigo,531,1,26845,Anastasios Douvikas,17.0,6.7,F,2024-05-15 20:00:00+00:00,6.7,17.0,6.7,17.0,,7.0,0.0377777777777777,0.0,1,6.8625,6.58125,6.58125,7.5,0.7999999999999998,1,0.5502149078012785,0.10677909721877693,6.806779097218777,0.9622222222222223,UNASSIGNED
1038305,538,Celta Vigo,531,1,47427,Iván Villar,90.0,6.5,G,2024-05-15 20:00:00+00:00,6.5,90.0,6.5,90.0,,7.0,0.2,0.0,1,6.8625,6.58125,6.58125,6.5,0.0,0,0.618129044847913,0.23645428283114028,6.73645428283114,0.8,UNASSIGNED
1038305,531,Athletic Club,538,0,47418,Mikel Vesga,15.0,6.6,M,2024-05-15 20:00:00+00:00,6.6,15.0,6.6,15.0,,7.0,0.0333333333333333,0.0,1,6.58125,6.8625,6.8625,6.3,-0.2999999999999998,0,0.5844785206497293,0.1339162007580163,6.733916200758016,0.9666666666666667,UNASSIGNED
