fixture_id,team_id,team_name,opponent_team_id,home_flag,player_id,player_name,minutes,rating,position,date,rolling_rating_3,rolling_minutes_3,rolling_rating_5,rolling_minutes_5,rolling_rating_std_5,days_since_last_match,fatigue_ratio,form_delta,match_count,team_fixture_avg_rating,opponent_fixture_avg_rating,opponent_rolling_avg_rating,target_next_rating,target_delta,target_outperform
1038303,547,Girona,533,1,619,Eric García,90.0,7.0,D,2024-05-14 20:00:00+00:00,7.0,90.0,7.0,90.0,,7.0,0.2,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,7.5,0.5,1
1038303,547,Girona,533,1,1700,Iván Martín,90.0,7.9,M,2024-05-14 20:00:00+00:00,7.9,90.0,7.9,90.0,,7.0,0.2,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.3,-1.6000000000000005,0
1038303,533,Villarreal,547,0,928,Dani Parejo,90.0,7.2,M,2024-05-14 20:00:00+00:00,7.2,90.0,7.2,90.0,,7.0,0.2,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.6,-0.6000000000000005,0
1038303,533,Villarreal,547,0,18794,Kiko Femenía,90.0,6.6,D,2024-05-14 20:00:00+00:00,6.6,90.0,6.6,90.0,,7.0,0.2,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.9,0.3000000000000007,1
1038303,547,Girona,533,1,47514,Valery Fernández,15.0,6.6,D,2024-05-14 20:00:00+00:00,6.6,15.0,6.6,15.0,,7.0,0.03333333333333333,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.7,0.10000000000000053,1
1038303,547,Girona,533,1,162032,Miguel Gutiérrez,75.0,6.9,D,2024-05-14 20:00:00+00:00,6.9,75.0,6.9,75.0,,7.0,0.16666666666666666,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.9,0.0,0
1038303,533,Villarreal,547,0,8492,Alexander Sørloth,90.0,6.5,F,2024-05-14 20:00:00+00:00,6.5,90.0,6.5,90.0,,7.0,0.2,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.7,0.20000000000000018,1
1038303,547,Girona,533,1,2182,Viktor Tsygankov,83.0,7.7,M,2024-05-14 20:00:00+00:00,7.7,83.0,7.7,83.0,,7.0,0.18444444444444444,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,7.6,-0.10000000000000053,0
1038303,547,Girona,533,1,47334,David López,90.0,7.2,D,2024-05-14 20:00:00+00:00,7.2,90.0,7.2,90.0,,7.0,0.2,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,7.2,0.0,0
1038303,533,Villarreal,547,0,47467,José Luis Morales,9.0,6.6,F,2024-05-14 20:00:00+00:00,6.6,9.0,6.6,9.0,,7.0,0.02,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.2,0.6000000000000005,1
1038303,533,Villarreal,547,0,671,Bertrand Traoré,81.0,7.5,M,2024-05-14 20:00:00+00:00,7.5,81.0,7.5,81.0,,7.0,0.18,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.0,-0.5,0
1038303,533,Villarreal,547,0,182219,Alejandro Baena,89.0,6.9,M,2024-05-14 20:00:00+00:00,6.9,89.0,6.9,89.0,,7.0,0.19777777777777777,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.2,0.2999999999999998,1
1038303,533,Villarreal,547,0,131,Jorge Cuenca,65.0,7.5,D,2024-05-14 20:00:00+00:00,7.5,65.0,7.5,65.0,,7.0,0.14444444444444443,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.7,-0.7999999999999998,0
1038303,547,Girona,533,1,158,Paulo Gazzaniga,90.0,7.2,G,2024-05-14 20:00:00+00:00,7.2,90.0,7.2,90.0,,7.0,0.2,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.5,-0.7000000000000002,0
1038303,533,Villarreal,547,0,925,Gonçalo Guedes,65.0,6.6,F,2024-05-14 20:00:00+00:00,6.6,65.0,6.6,65.0,,7.0,0.14444444444444443,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.7,0.10000000000000053,1
1038303,547,Girona,533,1,531,Daley Blind,90.0,7.3,D,2024-05-14 20:00:00+00:00,7.3,90.0,7.3,90.0,,7.0,0.2,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.6,-0.7000000000000002,0
1038303,547,Girona,533,1,2449,Yangel Herrera,75.0,7.2,M,2024-05-14 20:00:00+00:00,7.2,75.0,7.2,75.0,,7.0,0.16666666666666666,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,6.6,-0.6000000000000005,0
1038303,547,Girona,533,1,47520,Portu,15.0,6.7,F,2024-05-14 20:00:00+00:00,6.7,15.0,6.7,15.0,,7.0,0.03333333333333333,0.0,1,7.228571428571429,7.026666666666667,7.026666666666667,7.2,0.5,1
1038303,533,Villarreal,547,0,290740,Ilias Akhomach,25.0,6.5,F,2024-05-14 20:00:00+00:00,6.5,25.0,6.5,25.0,,7.0,0.05555555555555555,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,6.9,0.40000000000000036,1
1038303,533,Villarreal,547,0,47541,Santi Comesaña,81.0,7.7,M,2024-05-14 20:00:00+00:00,7.7,81.0,7.7,81.0,,7.0,0.18,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.2,-0.5,0
1038303,533,Villarreal,547,0,187987,Ramón Terrats,25.0,7.2,M,2024-05-14 20:00:00+00:00,7.2,25.0,7.2,25.0,,7.0,0.05555555555555555,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.3,0.09999999999999964,1
1038303,533,Villarreal,547,0,195717,Yerson Mosquera,90.0,7.2,D,2024-05-14 20:00:00+00:00,7.2,90.0,7.2,90.0,,7.0,0.2,0.0,1,7.026666666666667,7.228571428571429,7.228571428571429,7.0,-0.20000000000000018,0
1038308,724,Cadiz,536,0,84086,Robert Navarro,80.0,7.2,M,2024-05-15 17:30:00+00:00,7.2,80.0,7.2,80.0,,7.0,0.17777777777777778,0.0,1,7.03125,6.96,6.96,6.2,-1.0,0
1038308,536,Sevilla,724,1,19172,Ørjan Nyland,90.0,7.9,G,2024-05-15 17:30:00+00:00,7.9,90.0,7.9,90.0,,7.0,0.2,0.0,1,6.96,7.03125,7.03125,7.7,-0.20000000000000018,0
1038310,728,Rayo Vallecano,715,1,47557,Óscar Trejo,5.0,3.0,M,2024-05-15 17:30:00+00:00,3.0,5.0,3.0,5.0,,7.0,0.011111111111111112,0.0,1,6.40625,6.793333333333334,6.793333333333334,7.3,4.3,1
